TOTAL_TIME,0m7s
1.4375,92,-0.34375,-1.4375,0.46875,-1.15625,1.09375,-0.1875,-0.96875,1.28125,0.0625,-0.71875,1.28125,1.03125,1.25,0.53125,-0.15625,-0.375,2.125,-0.4375,-0.0625,2.8125,-0.6875
1.453125,93,0.15625,-2.09375,-0.625,-1.15625,1.1875,-0.15625,-1.1875,1.3125,-0.03125,-0.78125,1.1875,1.125,0.71875,0.0,0.0625,-0.59375,2.40625,-0.40625,-0.03125,3.40625,-1.03125
1.46875,94,-0.09375,0.625,-1.40625,-0.625,1.03125,-0.15625,-0.75,1.21875,-0.125,-0.71875,1.25,0.75,0.46875,-0.78125,0.15625,-0.3125,2.71875,-0.28125,-0.03125,4.0625,-1.5625
1.484375,95,0.03125,2.34375,-1.28125,-0.1875,1.125,-0.15625,-0.21875,1.09375,-0.125,-0.28125,1.15625,0.3125,0.46875,-1.40625,0.28125,0.3125,2.96875,-0.125,0.09375,4.6875,-2.21875
1.5,96,0.15625,1.34375,-1.125,-0.21875,1.28125,-0.15625,-0.25,1.0,-0.03125,-0.125,1.0,0.375,0.5625,-2.09375,0.34375,0.90625,3.15625,0.0625,0.125,5.34375,-2.75
1.515625,97,-0.6875,0.15625,0.09375,-0.53125,1.34375,-0.09375,-0.5625,1.0,0.09375,-0.28125,0.875,0.65625,0.0625,-3.59375,0.34375,1.34375,3.3125,0.21875,-0.15625,5.9375,-3.375
1.53125,98,-1.25,-0.03125,1.09375,-0.53125,1.1875,-0.0625,-0.53125,1.03125,0.09375,-0.3125,0.90625,0.625,-0.65625,-4.71875,0.28125,1.65625,3.21875,0.21875,-0.375,6.40625,-3.84375
1.546875,99,-0.59375,0.1875,1.40625,-0.15625,1.09375,-0.0625,-0.21875,1.0625,0.0,-0.125,0.96875,0.34375,-0.34375,-4.0625,0.34375,2.28125,2.9375,-0.0625,-0.6875,6.65625,-4.0
1.5625,100,0.3125,0.25,1.0,0.1875,1.0625,-0.03125,0.125,1.03125,0.0,0.0625,0.96875,0.09375,0.125,-3.3125,0.53125,2.1875,2.40625,-0.28125,-0.34375,6.46875,-3.5625
1.578125,101,0.8125,-0.03125,0.625,0.21875,1.0,-0.03125,0.15625,1.03125,0.0,0.09375,0.9375,0.0625,0.59375,-2.8125,0.78125,1.8125,2.40625,-0.625,0.75,3.8125,-2.5
1.59375,102,1.03125,-0.15625,0.46875,0.1875,0.96875,0.03125,0.15625,1.03125,0.0,0.03125,0.9375,0.09375,0.4375,-2.96875,1.09375,1.4375,2.46875,-0.5625,0.3125,0.9375,-0.71875
1.609375,103,0.71875,-0.03125,0.21875,0.25,0.9375,0.0,0.21875,0.96875,0.03125,0.09375,0.9375,0.03125,0.03125,-3.90625,1.28125,1.71875,2.25,-0.4375,-1.875,-1.71875,0.75
1.625,104,0.375,-0.25,0.09375,0.28125,0.9375,0.03125,0.25,0.9375,0.03125,0.1875,0.875,0.03125,-0.0625,-4.625,1.28125,1.125,1.46875,-0.4375,-2.375,-2.0,1.625
1.640625,105,0.28125,-0.625,0.25,0.21875,0.90625,0.03125,0.15625,0.9375,0.09375,0.0625,0.875,0.09375,-0.34375,-3.9375,1.34375,-0.15625,0.53125,0.0625,-1.5625,-1.9375,2.03125
1.65625,106,0.28125,-1.03125,0.34375,0.25,0.9375,0.03125,0.21875,0.9375,0.0625,0.25,0.71875,0.0,-0.75,-3.15625,1.1875,-0.6875,-0.4375,0.71875,-0.40625,-2.1875,2.1875
1.671875,107,0.28125,-0.8125,0.34375,0.25,0.90625,0.0625,0.21875,0.9375,0.0625,0.28125,0.65625,0.0,-0.90625,-2.9375,1.0625,-0.34375,-1.28125,1.15625,0.8125,-2.90625,2.0625
1.6875,108,0.28125,0.0,0.1875,0.21875,0.90625,0.0625,0.1875,0.90625,0.09375,0.21875,0.625,0.0,-0.5625,-2.9375,1.03125,0.25,-2.03125,1.4375,1.5,-3.71875,1.75
1.703125,109,0.28125,0.375,0.09375,0.21875,0.90625,0.0625,0.1875,0.90625,0.09375,0.21875,0.59375,0.03125,0.21875,-2.65625,0.90625,0.53125,-2.6875,1.71875,1.71875,-4.375,1.46875
1.71875,110,0.3125,0.125,0.3125,0.15625,0.9375,0.09375,0.15625,0.875,0.125,0.125,0.53125,0.0625,0.71875,-2.40625,0.84375,0.4375,-3.3125,2.0625,1.6875,-4.75,1.375
1.734375,111,0.28125,-0.3125,0.65625,0.0625,0.9375,0.0625,0.09375,0.875,0.15625,0.125,0.53125,0.125,0.71875,-2.21875,0.71875,0.25,-3.90625,2.28125,1.75,-4.9375,1.5625
1.75,112,0.15625,-0.5625,0.78125,0.09375,0.9375,0.0625,0.09375,0.875,0.15625,0.15625,0.5,0.125,0.625,-1.875,0.6875,0.40625,-4.40625,2.28125,1.75,-5.125,1.90625
1.765625,113,0.0625,-0.375,0.6875,0.03125,0.96875,0.09375,0.0625,0.90625,0.15625,0.125,0.5,0.125,0.4375,-1.46875,0.65625,0.90625,-4.71875,2.09375,1.59375,-5.4375,2.1875
1.78125,114,-0.03125,-0.03125,0.34375,0.0625,0.96875,0.09375,0.09375,0.90625,0.15625,0.15625,0.4375,0.09375,-0.09375,-0.90625,0.6875,1.0625,-5.0,1.96875,1.25,-5.625,2.28125
1.796875,115,-0.03125,0.0625,0.0,0.0625,1.0,0.09375,0.09375,0.90625,0.1875,0.15625,0.46875,0.09375,-1.1875,-0.40625,0.78125,0.65625,-5.34375,1.875,0.84375,-5.6875,2.21875
1.8125,116,-0.0625,-0.0625,-0.1875,-0.03125,1.0,0.09375,0.03125,0.9375,0.21875,0.125,0.5,0.15625,-2.34375,-0.21875,0.84375,-0.40625,-5.6875,1.875,0.53125,-5.65625,2.1875
1.828125,117,-0.125,-0.28125,-0.25,-0.0625,1.03125,0.09375,0.0,0.9375,0.21875,0.15625,0.5,0.1875,-2.84375,-0.1875,0.875,-1.25,-5.9375,1.8125,0.25,-5.75,2.3125
1.84375,118,-0.15625,-0.40625,-0.28125,-0.0625,1.03125,0.09375,0.0,0.96875,0.21875,0.15625,0.53125,0.21875,-2.3125,-0.09375,0.71875,-1.53125,-6.0625,1.65625,0.21875,-5.8125,2.5
1.859375,119,-0.25,-0.5,-0.34375,-0.0625,1.09375,0.125,-0.03125,1.03125,0.25,0.1875,0.53125,0.25,-1.46875,0.03125,0.3125,-1.40625,-5.96875,1.375,0.21875,-5.8125,2.625
1.875,120,-0.40625,-0.5,-0.5625,-0.0625,1.09375,0.125,-0.03125,1.0625,0.28125,0.15625,0.625,0.28125,-0.5625,-0.3125,-0.21875,-1.34375,-5.53125,0.96875,0.15625,-5.65625,2.59375
1.890625,121,-0.59375,-0.46875,-0.8125,0.0,1.125,0.1875,0.0625,1.125,0.28125,0.34375,0.71875,0.25,0.25,-0.5,-0.71875,-1.21875,-4.8125,0.625,-0.0625,-5.28125,2.0625
1.90625,122,-0.78125,-0.46875,-1.0,0.03125,1.1875,0.21875,0.09375,1.1875,0.3125,0.3125,0.8125,0.25,0.40625,-0.28125,-0.96875,-1.0,-3.9375,0.34375,-0.5625,-4.4375,1.3125
1.921875,123,-0.84375,-0.78125,-1.1875,-0.0625,1.25,0.21875,-0.03125,1.25,0.3125,0.21875,0.84375,0.34375,-0.0625,0.375,-0.6875,-0.625,-3.09375,0.34375,-0.84375,-3.1875,0.71875
1.9375,124,-0.78125,-0.96875,-1.28125,-0.0625,1.28125,0.1875,-0.03125,1.28125,0.34375,0.21875,0.9375,0.375,-0.9375,0.28125,-0.09375,0.15625,-2.15625,0.34375,-0.25,-2.0,0.4375
1.953125,125,-0.75,-0.75,-1.15625,-0.03125,1.3125,0.21875,0.03125,1.3125,0.34375,0.25,1.0,0.375,-1.5625,-0.59375,-0.03125,0.40625,-1.25,0.15625,0.65625,-1.28125,0.25
1.96875,126,-0.5,-0.375,-0.96875,0.09375,1.34375,0.21875,0.09375,1.34375,0.34375,0.25,1.125,0.34375,-1.625,-0.15625,-0.125,0.09375,-0.40625,0.0,0.21875,0.40625,-0.46875
1.984375,127,-0.46875,0.0,-1.0625,0.15625,1.34375,0.28125,0.15625,1.40625,0.375,0.25,1.28125,0.375,-1.1875,0.84375,-0.125,-0.5,0.6875,-0.125,-1.53125,2.4375,-1.1875
2.0,128,-0.46875,0.0625,-0.96875,0.09375,1.375,0.25,0.125,1.4375,0.40625,0.3125,1.375,0.40625,-0.625,0.6875,-0.25,-0.53125,1.8125,-0.3125,-0.5625,3.875,-1.0
2.015625,129,-0.25,0.125,-0.625,0.09375,1.375,0.28125,0.15625,1.46875,0.40625,0.40625,1.53125,0.4375,1.0625,-1.15625,-0.40625,-0.28125,1.5625,-0.65625,0.4375,4.53125,-0.71875
2.03125,130,0.28125,0.4375,-0.5,0.34375,1.375,0.28125,0.34375,1.46875,0.4375,0.4375,1.71875,0.3125,1.1875,1.71875,-0.5,-0.65625,1.46875,-0.625,0.09375,5.84375,-1.375
2.046875,131,0.375,0.28125,-0.625,0.5,1.3125,0.3125,0.5,1.5,0.4375,0.65625,1.96875,0.25,2.75,0.8125,-0.28125,-0.96875,2.25,-0.1875,0.03125,4.46875,-0.53125
2.0625,132,0.15625,-0.21875,-0.125,0.59375,1.15625,0.34375,0.5625,1.5625,0.40625,0.8125,2.21875,0.1875,1.09375,-0.125,0.3125,-1.59375,2.53125,-0.25,0.0625,3.21875,-0.25
2.078125,133,-0.21875,-0.125,0.09375,0.5625,0.78125,0.375,0.59375,1.71875,0.40625,0.90625,2.4375,0.1875,2.03125,0.1875,1.0,-1.75,2.5625,0.15625,0.15625,0.5625,-0.1875
2.09375,134,-0.25,-0.03125,0.1875,0.46875,0.21875,0.40625,0.59375,2.03125,0.375,1.0625,2.8125,0.15625,5.28125,0.5,0.3125,-0.40625,2.75,-0.03125,0.125,0.46875,0.21875
2.109375,135,-0.34375,-0.21875,0.0625,0.4375,-0.5625,0.4375,0.71875,2.40625,0.40625,0.96875,3.0625,0.1875,4.6875,0.90625,0.1875,2.09375,2.65625,-0.34375,0.15625,0.09375,-0.03125
2.125,136,-0.0625,-0.125,0.0625,0.09375,-1.5,0.46875,0.5,3.0,0.375,0.9375,3.5,0.4375,3.125,1.21875,-0.71875,2.53125,2.375,-0.5,-0.03125,0.1875,0.0
2.140625,137,0.0625,-0.5625,0.0625,-0.09375,-2.25,0.4375,0.3125,3.53125,0.34375,0.875,3.875,0.71875,0.25,1.1875,-0.8125,1.125,1.75,-0.4375,-0.09375,0.09375,0.125
2.15625,138,0.5,-0.125,0.34375,-0.21875,-2.8125,0.40625,0.15625,4.03125,0.3125,0.4375,4.0,0.8125,-1.6875,0.90625,-0.40625,-0.4375,1.09375,-0.40625,0.0625,0.125,0.125
2.171875,139,0.75,0.59375,0.59375,-0.1875,-3.09375,0.375,0.15625,3.9375,0.1875,0.125,3.65625,0.6875,-2.4375,1.1875,-0.46875,-1.59375,0.75,-0.3125,0.15625,0.21875,0.25
2.1875,140,0.71875,0.71875,0.53125,-0.0625,-3.25,0.25,0.34375,3.40625,0.0625,0.09375,2.96875,0.3125,-1.96875,1.34375,-0.53125,-2.59375,0.46875,-0.1875,0.21875,0.1875,0.25
2.203125,141,0.4375,1.46875,0.34375,0.09375,-3.34375,0.09375,0.5,2.75,0.0,0.40625,2.3125,0.0625,-1.1875,1.5625,-0.53125,-1.75,0.40625,-0.25,0.03125,0.15625,0.125
2.21875,142,0.375,2.09375,0.125,0.21875,-3.4375,-0.03125,0.625,2.0625,-0.0625,0.34375,1.65625,-0.25,-0.78125,1.59375,-0.4375,-0.90625,0.40625,-0.15625,0.0,0.15625,0.03125
2.234375,143,0.5,1.96875,-0.125,0.25,-3.40625,-0.125,0.6875,1.3125,-0.09375,0.3125,0.9375,-0.46875,-0.5625,1.78125,-0.4375,-0.40625,0.28125,-0.15625,0.0,0.21875,0.0625
2.25,144,0.5,1.09375,-0.40625,0.15625,-3.34375,-0.1875,0.5625,0.59375,-0.125,0.28125,0.28125,-0.53125,-0.46875,1.75,-0.34375,-0.5,0.21875,-0.1875,0.03125,0.3125,0.09375
2.265625,145,0.34375,0.375,-0.59375,0.0625,-3.1875,-0.15625,0.40625,-0.125,-0.125,0.15625,-0.375,-0.53125,-0.25,1.84375,-0.25,-0.75,0.15625,-0.21875,0.03125,0.3125,0.15625
2.28125,146,0.03125,0.0,-0.5625,-0.03125,-3.03125,-0.09375,0.3125,-0.78125,-0.125,0.09375,-0.96875,-0.5625,0.03125,2.0,-0.1875,-0.71875,0.25,-0.25,0.09375,0.34375,0.15625
2.296875,147,-0.03125,-0.3125,-0.46875,-0.0625,-2.90625,-0.09375,0.1875,-1.40625,-0.15625,0.0,-1.53125,-0.59375,0.34375,1.96875,-0.3125,-0.0625,0.375,-0.25,0.1875,0.40625,0.09375
2.3125,148,-0.125,-0.3125,-0.28125,-0.0625,-2.78125,-0.0625,0.15625,-2.0625,-0.125,0.0,-2.0625,-0.65625,0.6875,2.0,-0.4375,0.65625,0.5,-0.21875,0.28125,0.46875,0.09375
2.328125,149,-0.125,-0.125,-0.03125,-0.0625,-2.625,-0.0625,0.09375,-2.625,-0.09375,0.0,-2.5625,-0.6875,0.90625,1.90625,-0.5625,0.96875,0.53125,-0.21875,0.34375,0.46875,0.09375
2.34375,150,0.03125,0.03125,0.0625,0.0,-2.5,-0.03125,0.09375,-3.15625,-0.0625,0.0625,-3.0,-0.71875,1.15625,1.96875,-0.6875,0.96875,0.59375,-0.1875,0.28125,0.46875,0.09375
2.359375,151,0.0625,0.03125,0.1875,0.09375,-2.28125,0.0,0.09375,-3.625,0.0,0.09375,-3.375,-0.78125,1.25,1.96875,-0.78125,0.875,0.59375,-0.15625,0.25,0.40625,0.09375
2.375,152,0.0,-0.0625,0.28125,0.21875,-2.0,-0.0625,0.1875,-4.125,0.09375,0.1875,-3.78125,-0.875,1.1875,2.03125,-0.90625,1.09375,0.5,-0.125,0.21875,0.3125,0.0
2.390625,153,-0.03125,-0.09375,0.21875,0.40625,-1.6875,-0.09375,0.28125,-4.625,0.1875,0.3125,-4.1875,-1.03125,0.8125,2.03125,-0.90625,1.09375,0.1875,-0.03125,0.1875,0.25,-0.0625
2.40625,154,-0.15625,-0.03125,0.25,0.65625,-1.34375,-0.125,0.46875,-5.09375,0.25,0.5,-4.53125,-1.1875,0.15625,1.96875,-0.90625,1.0,0.21875,-0.09375,0.09375,0.125,-0.09375
2.421875,155,-0.09375,0.03125,0.09375,0.9375,-0.96875,-0.15625,0.65625,-5.53125,0.34375,0.625,-4.90625,-1.375,-0.71875,1.875,-0.84375,0.5625,0.28125,-0.125,0.0,-0.03125,-0.15625
2.4375,156,-0.125,0.125,-0.09375,1.15625,-0.59375,-0.125,0.78125,-5.875,0.40625,0.78125,-5.25,-1.5625,-1.4375,1.78125,-0.65625,0.03125,0.3125,-0.15625,-0.125,-0.15625,-0.21875
2.453125,157,-0.1875,0.0625,-0.3125,1.375,-0.21875,-0.125,0.96875,-6.21875,0.4375,0.90625,-5.53125,-1.71875,-1.28125,1.3125,-0.5,-0.28125,0.4375,-0.15625,-0.25,-0.21875,-0.28125
2.46875,158,-0.15625,0.03125,-0.3125,1.53125,0.125,-0.15625,1.09375,-6.4375,0.46875,1.03125,-5.78125,-1.84375,-0.90625,1.28125,-0.25,-0.1875,0.5,-0.1875,-0.375,-0.28125,-0.40625
2.484375,159,-0.09375,0.03125,-0.1875,1.75,0.40625,-0.03125,1.25,-6.5,0.4375,1.09375,-5.90625,-2.0625,-0.5625,1.40625,-0.25,-0.03125,0.53125,-0.21875,-0.59375,-0.34375,-0.59375
2.5,160,-0.0625,0.0625,0.0,1.71875,0.46875,0.0625,1.3125,-6.3125,0.28125,1.0,-5.84375,-2.15625,-0.5625,1.3125,-0.375,-0.34375,0.5625,-0.21875,-0.75,-0.40625,-0.8125
2.515625,161,-0.375,-0.03125,0.0,1.1875,0.5,0.09375,0.8125,-5.9375,0.15625,0.625,-5.6875,-1.78125,-0.9375,1.46875,-0.34375,-0.71875,0.5625,-0.25,-0.71875,-0.375,-0.75
2.53125,162,-0.3125,-0.21875,0.125,0.15625,0.3125,0.09375,-0.15625,-5.25,0.03125,0.0625,-5.21875,-0.90625,-0.78125,1.6875,-0.25,-0.71875,0.53125,-0.28125,-0.625,-0.3125,-0.59375
2.546875,163,-0.40625,-0.5625,0.21875,-1.15625,-0.46875,-0.09375,-1.3125,-3.8125,-0.03125,-0.65625,-3.9375,0.34375,-0.25,2.03125,-0.1875,-0.53125,0.5,-0.3125,-0.5,-0.1875,-0.5
2.5625,164,-0.5625,-0.96875,0.28125,-2.53125,-1.3125,-0.3125,-2.625,-2.03125,0.0625,-1.375,-2.3125,1.84375,0.0625,2.15625,-0.3125,-0.5625,0.5625,-0.34375,-0.34375,-0.03125,-0.4375
2.578125,165,-0.875,-0.59375,0.5,-3.78125,-0.5625,-0.40625,-3.875,-1.21875,0.09375,-2.09375,-1.8125,3.0,-0.0625,1.90625,-0.5,-0.6875,0.71875,-0.4375,-0.28125,0.125,-0.34375
2.59375,166,-0.71875,-0.34375,0.71875,-4.1875,-0.21875,-0.625,-4.25,-0.5,0.28125,-2.15625,-1.1875,3.59375,-0.3125,1.53125,-0.40625,-0.75,0.8125,-0.46875,-0.28125,0.34375,-0.375
2.609375,167,-0.28125,-0.46875,0.46875,-3.75,0.15625,-0.53125,-3.875,0.0,0.25,-1.90625,-0.625,3.3125,-0.40625,0.96875,-0.28125,-0.625,1.03125,-0.53125,-0.28125,0.625,-0.4375
2.625,168,-0.0625,-0.40625,0.46875,-2.5625,0.375,-0.40625,-2.625,0.3125,0.15625,-1.3125,-0.125,2.3125,-0.0625,0.53125,-0.09375,-0.28125,1.28125,-0.53125,-0.34375,1.0,-0.625
2.640625,169,0.03125,0.1875,0.28125,-0.9375,0.59375,-0.1875,-1.0,0.53125,-0.03125,-0.5,0.375,0.875,0.4375,0.3125,0.0,0.0,1.5,-0.5625,-0.21875,1.4375,-0.6875
2.65625,170,0.40625,0.71875,0.21875,0.46875,0.84375,-0.0625,0.34375,0.8125,-0.125,0.28125,1.4375,-0.03125,0.8125,0.34375,0.0,0.03125,1.65625,-0.59375,-0.25,1.84375,-0.71875
2.671875,171,0.59375,0.59375,0.28125,0.25,1.0,-0.15625,0.1875,0.84375,-0.1875,-0.34375,2.0,0.1875,1.1875,0.375,-0.125,-0.15625,1.90625,-0.625,-0.25,2.28125,-0.625
2.6875,172,0.15625,-0.28125,0.4375,-0.1875,0.90625,-0.28125,-0.09375,1.09375,-0.15625,0.28125,1.53125,0.28125,1.3125,0.34375,-0.28125,-0.28125,2.03125,-0.65625,-0.15625,2.78125,-0.53125
2.703125,173,-0.40625,-1.0625,0.25,-0.40625,1.1875,-0.21875,-0.5,1.15625,-0.125,-0.375,1.25,0.5625,1.03125,0.21875,-0.34375,-0.625,2.28125,-0.65625,-0.3125,3.3125,-0.625
2.71875,174,-0.34375,-1.8125,-0.4375,-0.8125,1.40625,-0.21875,-0.96875,1.21875,-0.125,-0.75,1.125,0.90625,0.625,-0.1875,-0.25,-0.75,2.65625,-0.65625,-0.40625,4.0,-0.84375
2.734375,175,-0.40625,0.4375,-1.0625,-0.78125,1.15625,-0.15625,-0.9375,1.21875,-0.09375,-0.8125,1.28125,0.875,0.34375,-0.84375,-0.03125,-0.4375,3.03125,-0.5625,-0.0625,4.6875,-1.28125
2.75,176,-0.28125,2.53125,-0.9375,-0.5,1.03125,-0.09375,-0.5625,1.1875,-0.03125,-0.34375,1.28125,0.625,0.3125,-1.46875,0.125,0.25,3.4375,-0.4375,0.40625,5.40625,-1.96875
2.765625,177,-0.03125,1.6875,-0.84375,-0.28125,1.21875,-0.125,-0.28125,1.125,0.03125,-0.0625,1.125,0.46875,0.8125,-2.53125,0.34375,0.96875,3.53125,-0.28125,0.40625,6.03125,-2.84375
2.78125,178,-0.71875,0.0625,0.0625,-0.28125,1.25,-0.0625,-0.28125,1.0625,0.0625,-0.09375,1.03125,0.46875,0.78125,-4.09375,0.375,1.40625,3.375,-0.09375,-0.21875,6.40625,-3.8125
2.796875,179,-0.84375,-0.25,1.25,-0.34375,1.21875,-0.0625,-0.34375,1.0625,0.0625,-0.21875,0.9375,0.46875,0.125,-4.75,0.34375,2.09375,3.1875,-0.09375,-0.96875,6.375,-4.53125
2.8125,180,-0.34375,0.03125,1.3125,-0.09375,1.15625,-0.0625,-0.15625,1.0,0.03125,-0.09375,0.875,0.28125,0.5,-3.71875,0.46875,2.1875,2.5625,-0.1875,-1.15625,6.46875,-4.78125
2.828125,181,0.28125,0.125,0.65625,0.0,1.03125,-0.03125,0.0,1.0,0.03125,0.03125,0.9375,0.21875,1.09375,-2.9375,0.65625,2.125,2.5625,-0.53125,-1.21875,5.5,-4.125
2.84375,182,0.625,-0.15625,0.375,-0.0625,1.03125,0.0,-0.03125,1.0,0.09375,0.0,0.90625,0.25,1.0625,-2.59375,0.96875,1.375,2.15625,-0.59375,0.96875,2.6875,-2.34375
2.859375,183,0.84375,-0.28125,0.53125,-0.03125,1.0,0.0,-0.03125,1.0,0.09375,0.0,0.90625,0.25,0.3125,-2.71875,1.34375,1.3125,2.28125,-0.5625,0.40625,-0.5,-0.46875
2.875,184,0.5625,-0.375,0.46875,0.0625,0.96875,0.0,0.03125,1.0,0.09375,0.0625,0.875,0.1875,-0.6875,-3.6875,1.21875,1.4375,2.0625,-0.53125,-1.09375,-1.59375,0.8125
